TaskID,Input1,Output1_1,Noise1_1,LST
9,-0.5478828,0.62613004,0.23801725,0
9,-0.51142305,0.5231601,0.2677511,0
9,-0.47391942,0.4056894,0.30158618,0
9,-0.43533844,0.30857828,0.35827088,0
9,-0.3957361,0.21263897,0.34142658,0
9,-0.3550804,0.119775675,0.36954924,0
9,-0.3135172,0.057964407,0.3676451,0
9,-0.27115008,-0.012635056,0.44542181,0
9,-0.22816919,-0.039146703,0.47881746,0
9,-0.18484002,-0.06814813,0.47940335,0
9,-0.14121057,-0.08616414,0.50899076,0
9,-0.097343765,-0.105498575,0.49976298,0
9,-0.05314934,-0.136697,0.5400428,0
9,-0.008523634,-0.16979983,0.5672867,0
9,0.036757436,-0.2316111,0.6333456,0
9,0.08283121,-0.27950734,0.69676805,0
9,0.12981579,-0.35376883,0.7535992,0
9,0.17807107,-0.44091973,0.69457096,0
9,0.22786552,-0.53773785,0.6126931,0
9,0.27942356,-0.63777834,0.65590227,0
9,0.33301345,-0.74821824,0.72738075,0
9,0.38924628,-0.8885386,0.7017481,0
9,0.44912702,-1.0572746,0.66102886,0
10,-1.0681933,1.2801281,0.0515582,0
10,-1.0371628,1.3199686,0.049654063,0
10,-1.0064238,1.3652284,0.05668472,0
10,-0.97601277,1.4179585,0.05697767,0
10,-0.9460831,1.5156552,0.055512946,0
10,-0.9167224,1.6004627,0.07089253,0
10,-0.887929,1.7059227,0.0736755,0
10,-0.85974556,1.8129939,0.07440785,0
10,-0.83205444,1.8824215,0.07045311,0
10,-0.80478,1.9685472,0.083049715,0
10,-0.77767015,1.9398388,0.07572611,0
10,-0.75038344,1.8961899,0.080559686,0
10,-0.72287816,1.8529805,0.09315629,0
10,-0.6951114,1.7943916,0.1083894,0
10,-0.6668688,1.6751635,0.0978434,0
10,-0.6379276,1.5461216,0.101358734,0
10,-0.60812235,1.3848556,0.10004048,0
10,-0.5774707,1.2780772,0.09960107,0
10,-0.5461004,1.1679304,0.08934801,0
10,-0.51369435,0.9833754,0.08978743,0
10,-0.47963962,0.73803455,0.0899339,0
10,-0.44334212,0.46222764,0.08378207,0
10,-0.40455928,0.2302158,0.09476748,0
10,-0.36341116,0.03584719,0.09491396,0
10,-0.31996143,-0.1399194,0.09198452,0
10,-0.27485114,-0.20715006,0.08407501,0
10,-0.22917777,-0.21842848,0.09183804,0
10,-0.18344676,-0.21652427,0.09637868,0
10,-0.13784382,-0.20260946,0.09388865,0
10,-0.09256498,-0.17316864,0.1183495,0
10,-0.047776345,-0.1353788,0.12801667,0
10,-0.0035948295,-0.08748233,0.1461792,0
10,0.039915238,-0.037828285,0.15760404,0
10,0.082694344,0.022664564,0.21399581,0
10,0.12506424,0.021785766,0.2056469,0
10,0.1672624,0.048883203,0.24709854,0
10,0.20944402,0.02032118,0.2929443,0
10,0.25200605,-0.01380686,0.3491896,0
11,-0.8141796,-0.18488646,0.67670137,0
11,-0.7688561,-0.17111804,0.52100146,0
11,-0.72392046,-0.13127759,0.41700622,0
11,-0.6796972,-0.06961272,0.3897624,0
11,-0.6363609,-0.00077084725,0.3424519,0
11,-0.5940397,0.08740545,0.4003084,0
11,-0.55286825,0.18612754,0.41187972,0
11,-0.51290786,0.29598165,0.4602155,0
11,-0.4741949,0.4144776,0.46578145,0
11,-0.43665552,0.5235995,0.5608419,0
11,-0.4001325,0.6230542,0.647114,0
11,-0.3644712,0.7093261,0.74510384,0
11,-0.32947633,0.77186954,0.9006573,0
11,-0.29479402,0.7781682,1.0110973,0
12,-0.16245028,2.0206914,0.2141423,0
12,-0.13580002,2.0146859,0.16024053,0
12,-0.109103024,1.9981345,0.15950818,0
12,-0.08230814,1.9720625,0.13475437,0
12,-0.05537439,1.9396923,0.14676511,0
12,-0.028269019,1.9016093,0.14588627,0
12,-0.0009680825,1.8608902,0.14368919,0
12,0.026568448,1.8087461,0.1414921,0
12,0.05440795,1.7447379,0.15965465,0
12,0.082631186,1.6662285,0.15818994,0
12,0.11132303,1.5765876,0.16917534,0
12,0.14056577,1.4759613,0.18367608,0
12,0.17045483,1.3630314,0.20081332,0
12,0.20111406,1.2338428,0.21912235,0
12,0.2326936,1.0897143,0.25925574,0
12,0.26538983,0.92273617,0.2598416,0
12,0.29945174,0.73788834,0.28430244,0
12,0.33517078,0.5328273,0.33073413,0
