TaskID,Input1,Output1_1,Output1_2
5,0.8156863,42.9,47.11
5,0.83137256,41.28,48.31333
5,0.84705883,39.710003,49.57
5,0.8627451,38.17667,50.909996
5,0.8784314,36.690002,52.366665
5,0.89411765,35.29,53.93
5,0.9098039,33.93,55.59333
5,0.9254902,32.550003,57.426662
5,0.9411765,31.230003,59.309994
5,0.95686275,30.02,61.206665
5,0.972549,28.83,63.18333
5,0.9882353,27.580002,65.299995
6,0.0,87.47,46.33
6,0.015686275,87.08,46.163334
6,0.03137255,86.736664,46.013332
6,0.047058824,86.5,45.91
6,0.0627451,86.31333,45.816666
6,0.078431375,86.153336,45.743332
6,0.09411765,86.02,45.69
6,0.10980392,85.92,45.646667
6,0.1254902,85.84,45.613335
6,0.14117648,85.75,45.57
6,0.15686275,85.66,45.53
6,0.17254902,85.50667,45.463333
6,0.1882353,85.3,45.38
6,0.20392157,84.94,45.226665
6,0.21960784,84.340004,44.956665
6,0.23529412,83.51,44.579998
6,0.2509804,82.39,44.09667
6,0.26666668,80.979996,43.506668
6,0.28235295,79.35,42.85
6,0.29803923,77.45,42.11
6,0.3137255,75.47,41.376667
6,0.32941177,73.48,40.7
6,0.34509805,71.30333,40.023335
6,0.36078432,68.903336,39.386665
6,0.3764706,66.369995,38.94
6,0.39215687,63.72333,38.81
6,0.40784314,61.0,39.09667
6,0.42352942,58.26,39.89
6,0.4392157,55.603333,41.06333
6,0.45490196,52.966663,42.433334
6,0.47058824,50.280003,43.8
6,0.4862745,47.519997,44.923336
6,0.5019608,44.670002,45.6
6,0.5176471,41.799995,45.78
6,0.53333336,39.003334,45.433334
6,0.54901963,36.5,44.636665
6,0.5647059,34.29,43.44
6,0.5803922,32.42,41.93
6,0.59607846,30.973331,40.283333
6,0.6117647,29.89,38.59
6,0.627451,29.123333,36.96
6,0.6431373,28.61,35.476665
6,0.65882355,28.289999,34.19
6,0.6745098,28.096666,33.176666
6,0.6901961,27.993334,32.406666
6,0.7058824,27.92,31.85
6,0.72156864,27.87,31.426666
6,0.7372549,27.82,31.066666
6,0.7529412,27.77,30.74
6,0.76862746,27.72,30.296665
6,0.78431374,27.65,29.743334
6,0.8,27.52,28.89
6,0.8156863,27.323334,27.71
6,0.83137256,27.066666,26.366665
6,0.84705883,26.75,24.88
6,0.8627451,26.33,23.246666
6,0.8784314,25.783333,21.53333
6,0.89411765,25.03,19.73
6,0.9098039,23.97,17.716663
6,0.9254902,22.533333,15.563333
6,0.9411765,20.629997,13.299996
6,0.95686275,18.223331,11.009999
6,0.972549,15.346663,8.773332
6,0.9882353,11.979998,6.5399985
7,0.0,96.79,50.21
