TaskID,Input1,Output1_1,Output1_2
784,0.03937008,0.26153648,0.7893697
784,0.047244094,0.26317525,0.7831598
784,0.05511811,0.26473308,0.77700114
784,0.062992126,0.26628426,0.77083683
784,0.070866145,0.26796272,0.7645883
784,0.07874016,0.26956454,0.75839967
784,0.08661418,0.27119768,0.7524352
784,0.09448819,0.27281782,0.74635214
784,0.10236221,0.27435872,0.7401769
784,0.11023622,0.27581373,0.7342072
784,0.11811024,0.27704847,0.7282944
784,0.12598425,0.27825704,0.7223883
784,0.13385826,0.27943033,0.71623355
784,0.14173229,0.28056392,0.7098291
784,0.1496063,0.2816881,0.7032948
784,0.15748031,0.28277895,0.696777
784,0.16535433,0.28365383,0.6903628
784,0.17322835,0.2844678,0.68396735
784,0.18110237,0.28516462,0.67744595
784,0.18897638,0.28567198,0.67105174
784,0.19685039,0.28615218,0.66467696
784,0.20472442,0.28652227,0.6583007
784,0.21259843,0.2867818,0.65190995
784,0.22047244,0.28703073,0.6454292
784,0.22834645,0.2872,0.6388895
784,0.23622048,0.28739986,0.63228846
784,0.24409449,0.2875,0.62568545
784,0.2519685,0.28753486,0.6191103
784,0.25984251,0.2876,0.6125381
784,0.26771653,0.2876,0.6059543
784,0.27559054,0.2876,0.59943724
784,0.28346458,0.2876,0.59294325
784,0.2913386,0.2876,0.586401
784,0.2992126,0.2876,0.579803
784,0.30708662,0.2875252,0.5731835
784,0.31496063,0.2875,0.5666409
784,0.32283464,0.2874,0.56017876
784,0.33070865,0.28730857,0.55363715
784,0.33858266,0.2872,0.5470691
784,0.3464567,0.28707635,0.54053473
784,0.35433072,0.28691223,0.53388625
784,0.36220473,0.28674898,0.5272596
784,0.37007874,0.28658608,0.5206416
784,0.37795275,0.28642353,0.5140004
784,0.38582677,0.28616074,0.50733256
784,0.39370078,0.2858977,0.5008016
784,0.4015748,0.285734,0.49425396
784,0.40944883,0.2853694,0.48782837
784,0.41732284,0.28510416,0.48138654
784,0.42519686,0.28483826,0.47492912
784,0.43307087,0.2844719,0.46846074
784,0.44094488,0.28411078,0.4619882
784,0.4488189,0.28377774,0.45560294
784,0.4566929,0.28337237,0.44904307
784,0.46456692,0.28300574,0.44256827
784,0.47244096,0.2825387,0.43594038
784,0.48031497,0.28204337,0.4294552
784,0.48818898,0.28150985,0.422834
784,0.496063,0.28101525,0.41636148
784,0.503937,0.28044304,0.40987983
784,0.511811,0.27990788,0.40338144
784,0.51968503,0.27926984,0.3969911
784,0.52755904,0.27852723,0.39040214
784,0.53543305,0.27777857,0.38388264
784,0.54330707,0.27703312,0.37725243
784,0.5511811,0.2761118,0.37063888
784,0.5590551,0.2752169,0.36403358
784,0.56692916,0.27417144,0.35748985
784,0.5748032,0.2731142,0.35104716
784,0.5826772,0.27196714,0.34473336
784,0.5905512,0.2706709,0.33857915
784,0.5984252,0.26928017,0.3322007
784,0.6062992,0.26779607,0.32587737
784,0.61417323,0.266098,0.31959927
784,0.62204725,0.2644584,0.31336626
784,0.62992126,0.26278812,0.30762705
784,0.63779527,0.261109,0.3022205
784,0.6456693,0.25926155,0.29668137
784,0.6535433,0.25726327,0.29089504
784,0.6614173,0.2551784,0.2850811
784,0.6692913,0.2530415,0.27954715
784,0.6771653,0.2506528,0.27388757
784,0.68503934,0.248238,0.26839426
784,0.6929134,0.2457928,0.26295143
784,0.7007874,0.24329498,0.25746423
784,0.70866144,0.24084081,0.25176385
784,0.71653545,0.23834442,0.24624862
784,0.72440946,0.23572026,0.24088609
784,0.7322835,0.2330269,0.23560987
784,0.7401575,0.23027201,0.23038858
784,0.7480315,0.22748823,0.22483474
784,0.7559055,0.22449185,0.21910793
784,0.7637795,0.22202118,0.21474454
784,0.77165353,0.21943937,0.21048482
784,0.77952754,0.21664426,0.20598905
784,0.78740156,0.2134212,0.20085928
784,0.79527557,0.21022601,0.19570173
784,0.8031496,0.20701924,0.19074176
784,0.8110236,0.2040425,0.18606071
784,0.81889766,0.20090075,0.18142964
784,0.8267717,0.19764017,0.17686552
784,0.8346457,0.19431075,0.17240092
784,0.8425197,0.19084628,0.16806611
784,0.8503937,0.18728852,0.16386065
784,0.8582677,0.18358399,0.1596407
784,0.86614174,0.1799521,0.1555258
784,0.87401575,0.17629418,0.15152948
784,0.88188976,0.1727244,0.14759466
784,0.8897638,0.16915451,0.14374311
784,0.8976378,0.16554746,0.13990988
784,0.9055118,0.16181248,0.13615535
784,0.9133858,0.15806259,0.13234831
784,0.9212598,0.15430076,0.12862934
784,0.92913383,0.15053712,0.12500854
784,0.93700784,0.14677548,0.121346906
784,0.9448819,0.14310822,0.11777964
784,0.9527559,0.13939881,0.114258505
784,0.96062994,0.13555218,0.11050876
784,0.96850395,0.13167265,0.106831096
784,0.97637796,0.12780964,0.10305681
784,0.984252,0.123895034,0.09918575
784,0.992126,0.12002735,0.09538644
784,1.0,0.1162,0.091714285
785,0.0,0.571,0.402
785,0.007874016,0.57407165,0.40469402
785,0.015748031,0.577093,0.4078472
785,0.023622047,0.5800511,0.41035876
785,0.031496063,0.58314323,0.41320458
785,0.03937008,0.5862852,0.4157143
785,0.047244094,0.5892318,0.4179026
785,0.05511811,0.5922075,0.42024168
785,0.062992126,0.59562665,0.42252952
785,0.070866145,0.5991871,0.42499077
785,0.07874016,0.60216933,0.42728803
785,0.08661418,0.60509586,0.4294256
785,0.09448819,0.6082727,0.4315032
785,0.10236221,0.61186767,0.43355602
785,0.11023622,0.615475,0.4354643
785,0.11811024,0.6190769,0.43726152
785,0.12598425,0.62256444,0.43883032
785,0.13385826,0.6260715,0.44045272
785,0.14173229,0.62963384,0.44206372
785,0.1496063,0.63318855,0.4436136
785,0.15748031,0.63661,0.44524282
785,0.16535433,0.6400368,0.44666454
785,0.17322835,0.64334804,0.44787824
785,0.18110237,0.6466695,0.44909272
785,0.18897638,0.65005827,0.4502687
785,0.19685039,0.6535473,0.45127067
785,0.20472442,0.6570662,0.45237488
785,0.21259843,0.66062695,0.45354533
785,0.22047244,0.6643195,0.454849
785,0.22834645,0.66791844,0.45617098
785,0.23622048,0.6715254,0.45753586
785,0.24409449,0.6750985,0.4590352
